Customer Name,Customer Mobile,Customer Email,Bill Date,Items,Bill Amount,Store Code
Sarita Gupta,9811111709,sarita.gupta85@gmail.com,02/07/2026 12:00,Fruit Cake|bakery|2|150; Rasgulla|sweets|1|160; Rasmalai|sweets|2|260,980,DDU-GK
Nitin Kapoor,918826011525,,01/07/2026 12:00,Aloo Bhujia|namkeen|11|90,990,DDU-CP
Vandana Mittal,9810011745,vandana.mittal48@gmail.com,01/07/2026 12:00,Atta Biscuits|bakery|2|60; Fruit Cake|bakery|1|150,270,DDU-CP
Varun Goel,+91-9911010042,varun.goel62@gmail.com,01/07/2026 12:00,Kachori|namkeen|6|25,150,DDU-NOIDA
Pooja Bansal,919811110525,pooja.bansal14@gmail.com,30/06/2026 12:00,Dhokla|namkeen|10|110,1100,DDU-NOIDA
Sarita Malhotra,09953011452,,30/06/2026 12:00,Gulab Jamun|sweets|1|180; Rasgulla|sweets|1|160,340,DDU-CP
Karan Sharma,919810011666,karan.sharma82@gmail.com,30/06/2026 12:00,Fruit Cake|bakery|1|150; Samosa|namkeen|10|20; Fruit Cake|bakery|2|150,650,DDU-NOIDA
Yogesh Singh,9953010444,,29/06/2026 12:00,Kachori|namkeen|8|25; Rasgulla|sweets|2|160; Fruit Cake|bakery|2|150,820,DDU-NOIDA
Sarita Gupta,98111 11709,sarita.gupta85@gmail.com,29/06/2026 12:00,Atta Biscuits|bakery|1|60; Atta Biscuits|bakery|1|60,120,DDU-GK
Walk-in Customer,12345,,29/06/2026 12:00,Jalebi|sweets|1|120,120,DDU-CP
Jyoti Verma,+91-9654010483,jyoti.verma17@gmail.com,28/06/2026 12:00,Kaju Katli|sweets|2|275; Fruit Cake|bakery|1|150; Rasgulla|sweets|2|160,1020,DDU-GK
Meena Saxena,98111 11560,,28/06/2026 12:00,Samosa|namkeen|5|20; Samosa|namkeen|7|20; Mathri|namkeen|5|80,640,DDU-NOIDA
Meena Saxena,09811111560,,28/06/2026 12:00,Atta Biscuits|bakery|2|60,120,DDU-NOIDA
Yogesh Mittal,919953010263,,27/06/2026 12:00,Kachori|namkeen|7|25; Mathri|namkeen|11|80,1055,DDU-CP
Yogesh Verma,78380 10334,,27/06/2026 12:00,Atta Biscuits|bakery|2|60,120,DDU-GK
Sarita Malhotra,+91-9811111410,,27/06/2026 12:00,Soan Papdi|sweets|2|150; Fruit Cake|bakery|1|150; Gulab Jamun|sweets|1|180,630,DDU-GK
Ritu Mittal,09811110075,,26/06/2026 12:00,Aloo Bhujia|namkeen|9|90; Milk Cake|sweets|1|240,1050,DDU-NOIDA
Varun Sharma,88260 10190,varun.sharma64@gmail.com,26/06/2026 12:00,Atta Biscuits|bakery|2|60,120,DDU-CP
Sarita Malhotra,+91-9811111410,,26/06/2026 12:00,Fruit Cake|bakery|1|150,150,DDU-GK
Vandana Mittal,98100 11745,vandana.mittal48@gmail.com,25/06/2026 12:00,Fruit Cake|bakery|1|150; Mathri|namkeen|9|80; Atta Biscuits|bakery|2|60,990,DDU-CP
Shobha Kapoor,9911010156,,24/06/2026 12:00,Kaju Katli|sweets|2|275,550,DDU-NOIDA
Nitin Kapoor,918826011525,,24/06/2026 12:00,Jalebi|sweets|1|120; Fruit Cake|bakery|2|150,420,DDU-CP
Rekha Malhotra,+91-8826010373,,21/06/2026 12:00,Mathri|namkeen|5|80; Mathri|namkeen|7|80; Jalebi|sweets|2|120,1200,DDU-CP
Yogesh Singh,919953010444,,21/06/2026 12:00,Rasgulla|sweets|2|160; Kachori|namkeen|6|25; Rasgulla|sweets|2|160,790,DDU-NOIDA
Vandana Mittal,9810011745,vandana.mittal48@gmail.com,21/06/2026 12:00,Samosa|namkeen|7|20,140,DDU-CP
Rajesh Jain,8826010304,rajesh.jain72@gmail.com,20/06/2026 12:00,Aloo Bhujia|namkeen|7|90,630,DDU-NOIDA
Jyoti Verma,919654010483,jyoti.verma17@gmail.com,20/06/2026 12:00,Mathri|namkeen|10|80,800,DDU-GK
